id_localidad,id_departamento,localidad
927,259,Amadores
928,304,Olta
929,305,Milagro
930,177,Hermoso Campo
931,178,Concepción Del Bermejo
932,178,Los Frentones
933,178,Pampa Del Infierno
934,178,Taco Pozo
935,179,Santa Sylvina
936,180,Corzuela
937,181,Makallé
938,181,Lapachito
939,182,Avia Terai
940,182,Campo Largo
941,182,Napenay
942,183,Puerto Tirol
943,184,La Clotilde
944,184,San Bernardo
945,185,Presidencia De La Plaza
946,186,Villa Berthet
947,187,Colonia Elisa
948,187,Colonias Unidas
949,187,Las Garcitas
950,108,Cruz Del Eje
951,108,San Marcos Sierra
952,109,Hipólito Bouchard
953,110,Villa De María
954,248,Villa Paranacito
955,248,Ibicuy
956,202,Empedrado
957,203,Alvear
958,204,Nuestra Señora Del Rosario De Caá Catí
959,205,Itatí
960,205,Ramada Paso
961,206,San Carlos
962,206,Ituzaingó
963,207,Mburucuyá
964,208,San Miguel
965,209,9 De julio
966,209,San Roque
967,312,Laguna Yema
968,129,Tortugas
969,323,El Talar
970,323,Palma Sola
971,323,Santa Clara
972,323,El Piquete
973,324,Maimará
974,324,Tilcara
975,324,Huacalera
976,341,Desaguadero
977,145,Itacaruaré
978,145,San Javier
979,146,25 De mayo
980,146,Paraje Itatí
981,146,San Francisco De Asís
982,249,Federal
983,250,Villaguay
984,89,Carlos Casares
985,373,Catriló
986,218,Chos Malal
987,219,Loncopué
988,220,Picún Leufú
989,158,Cachi
990,159,El Jardín
991,159,El Tala
992,160,Coronel Moldes
993,161,San Antonio De Los Cobres
994,162,Coronel Juan Solá
995,162,La Unión
996,162,Santa Rosa
997,163,San Carlos
998,292,Campo Afuera
999,292,El Rincón
1000,293,Las Tapias
1001,293,Villa El Salvador
1002,294,Calingasta
1003,295,San José De Jáchal
1004,296,Villa Dominguito
1005,297,Cochagual
1006,297,Colonia Fiscal
1007,297,Punta Del Médano
1008,297,Tres Esquinas
1009,297,Villa Media Agua
1010,298,Villa San Agustín
1011,279,Quines
1012,280,Concarán
1013,281,Buena Esperanza
1014,281,Unión
1015,282,Merlo
1016,130,San Justo
1017,349,Campo Gallo
1018,349,Sachayoj
1019,350,Villa Atamisqui
1020,351,Colonia Dora
1021,351,Icaño
1022,352,El Bobadal
1023,352,Pozo Hondo
1024,353,Suncho Corral
1025,354,Villa Ojo De Agua
1026,355,Termas De Río Hondo
1027,355,Villa Giménez
1028,356,Colonia El Simbolar
1029,356,Fernández
1030,357,Garza
1031,367,Dolavon
1032,367,Gaiman
1033,271,Garmendia
1034,271,Villa Burruyacú
1035,272,Graneros
1036,272,Lamadrid
1037,272,Taco Ralo
1038,273,La Cocha
1039,274,Simoca
1040,274,Atahona
1041,275,Amaicha Del Valle
1042,275,Colalao Del Valle
1043,275,Tafí Del Valle
1044,276,San Pedro De Colalao
1045,276,Villa De Trancas
1046,276,Vipo
1047,276,Tapia
1048,276,Choromoro
1049,90,Tres Arroyos
1050,306,Aimogasta
1051,111,San Carlos Minas
1052,210,Yahapé
1053,313,General Mosconi
1054,147,Concepción De La Sierra
1055,374,Santa Rosa
1056,375,Santa Isabel
1057,299,Zonda
1058,358,Villa San Martín (Est. Loreto)
1059,359,Villa San Martín (Est. Loreto)
1060,360,San Pedro
